"id", "mean_ThinQR_time_elapsed","std_ThinQR_time_elapsed", "mean_QR_time_elapsed", "std_QR_time_elapsed", "mean_mQR_time_elapsed", "std_mQR_time_elapsed"
344,0.60858,0.018914,0.57929,0.0090209,0.0010955,0.00014348
345,0.85953,0.0536,0.71882,0.0087008,0.0020596,0.00094565
346,1.2047,0.077616,0.90154,0.072889,0.0020553,0.00011236
347,1.4161,0.07497,0.98555,0.0076279,0.0029385,0.00042964
348,1.8863,0.093915,1.1358,0.01424,0.0036804,0.00090813
349,2.2738,0.052428,1.2839,0.03439,0.00447,0.0005177
350,2.6301,0.048058,1.1349,0.013328,0.005433,0.00065612
351,3.275,0.10081,1.5124,0.10362,0.0063673,0.00095367
352,4.853,0.66458,1.7965,0.1095,0.0083043,0.0015498
353,4.8177,0.30447,1.9425,0.11773,0.0094333,0.0021843
354,4.7178,0.040553,1.9466,0.19342,0.009697,0.00068419
355,5.1681,0.070267,1.9575,0.21706,0.0075197,0.00056612
356,5.7083,0.056913,2.2365,0.064208,0.0081894,0.00060995
357,6.253,0.073289,2.3224,0.20451,0.0098883,0.00051332
358,6.8279,0.13083,2.4222,0.11258,0.010477,0.00086895
359,7.336,0.13222,2.6882,0.23935,0.011769,0.0006728
360,8.1505,0.55734,2.7291,0.19938,0.013662,0.0021625
361,0.10554,0.012272,0.16045,0.0036616,0.00021643,4.0911e-05
362,0.25356,0.016067,0.32409,0.0064594,0.00043921,7.4899e-05
363,0.49702,0.082308,0.50918,0.040735,0.00088103,0.00017521
364,0.73138,0.11348,0.64651,0.033936,0.0012034,0.00024076
365,0.9919,0.056766,0.77533,0.010503,0.0017692,0.0003176
366,1.1888,0.071019,0.91528,0.010118,0.0020772,4.3701e-05
367,1.5881,0.020693,1.0836,0.019089,0.0027933,0.00019095
368,1.9661,0.020436,1.2376,0.010485,0.003889,0.00072242
369,2.4038,0.026961,1.4023,0.030761,0.0043872,0.00040026
370,2.9102,0.029267,1.5305,0.015099,0.0069496,0.0035126
371,3.4306,0.022208,1.6891,0.0038321,0.0071912,0.0017224
372,4.3482,0.043816,1.7722,0.012295,0.0088103,0.0020288
373,4.9027,0.059675,2.0149,0.016285,0.0080372,6.7693e-05
374,5.1274,0.13601,2.058,0.19728,0.0098315,0.00078957
375,5.4776,0.044672,2.305,0.018709,0.0085291,0.0012926
376,6.0172,0.087325,2.4539,0.025455,0.0090469,0.00090988
377,7.1045,0.45387,2.2741,0.16969,0.0099981,0.0011573
378,7.4558,0.55471,2.6661,0.087796,0.011398,0.0012315
379,7.799,0.038176,2.8852,0.044031,0.011735,0.00035954
380,8.2512,0.11741,2.9561,0.19004,0.01455,0.003325
381,0.099875,0.0037508,0.17012,0.005121,0.00077508,0.0012803
382,0.25493,0.018043,0.32584,0.001034,0.00040467,2.9455e-05
383,0.43363,0.014712,0.49261,0.0074584,0.00076436,0.00010027
384,0.66926,0.022567,0.64405,0.0030366,0.0010516,1.853e-05
385,0.95471,0.042488,0.80699,0.013583,0.0019831,0.00074443
386,1.2788,0.045788,0.95384,0.0089838,0.0022564,0.00031964
387,1.6986,0.041182,1.1195,0.010683,0.0028775,0.00041259
